Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",72.000000,-65.500000,90.000000,top
"C2","100n","C_0402_1005Metric",76.020000,-56.000000,0.000000,top
"C3","100n","C_0402_1005Metric",86.000000,-58.980000,-90.000000,top
"C4","100n","C_0402_1005Metric",74.000000,-68.500000,-90.000000,top
"C5","10u","C_0603_1608Metric",73.500000,-65.775000,90.000000,top
"C6","10n","C_0402_1005Metric",82.000000,-71.480000,-90.000000,top
"C7","1u","C_0402_1005Metric",84.905000,-71.500000,0.000000,top
"C8","1u","C_0402_1005Metric",87.925000,-71.000000,-90.000000,top
"C9","100n","C_0402_1005Metric",80.500000,-73.000000,0.000000,top
"C10","10p","C_0402_1005Metric",78.000000,-69.480000,-90.000000,top
"C11","10p","C_0402_1005Metric",75.020000,-70.000000,180.000000,top
"C12","22u","C_0805_2012Metric",79.500000,-50.450000,90.000000,top
"C13","22u","C_0805_2012Metric",88.050000,-47.000000,0.000000,top
"D1","RED","LED_0603_1608Metric",84.500000,-43.787500,-90.000000,top
"FB1","120R","L_0603_1608Metric",85.212500,-70.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",77.850000,-43.100000,180.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",69.000000,-47.880000,0.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",68.500000,-61.500000,0.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",90.000000,-66.500000,180.000000,top
"R1","10K","R_0402_1005Metric",73.490000,-76.500000,180.000000,top
"R2","1k5","R_0402_1005Metric",76.490000,-53.000000,180.000000,top
"R3","1k5","R_0402_1005Metric",84.500000,-39.990000,90.000000,top
"R4","1k5","R_0402_1005Metric",87.000000,-63.000000,90.000000,top
"R5","1k5","R_0402_1005Metric",87.000000,-61.000000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",80.850000,-77.570000,0.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",79.662500,-62.500000,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",85.350000,-52.000000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",75.400000,-72.500000,0.000000,top
